Wavelength[nm],Average,1
320.469,5428.0,5428
323.166,5339.0,5339
325.861,5429.0,5429
328.553,5250.0,5250
331.243,5413.0,5413
333.930,5309.0,5309
336.615,5372.0,5372
339.297,5432.0,5432
341.976,5352.0,5352
344.653,5389.0,5389
347.327,5373.0,5373
349.998,5337.0,5337
352.666,5368.0,5368
355.331,5297.0,5297
357.994,5446.0,5446
360.653,5523.0,5523
363.309,5358.0,5358
365.962,5510.0,5510
368.612,5523.0,5523
371.259,5482.0,5482
373.903,5725.0,5725
376.543,5768.0,5768
379.180,6118.0,6118
381.813,6931.0,6931
384.443,8003.0,8003
387.070,10620.0,10620
389.693,14865.0,14865
392.313,22244.0,22244
394.929,33367.0,33367
397.541,47326.0,47326
400.150,57554.0,57554
402.755,60611.0,60611
405.356,58548.0,58548
407.954,48278.0,48278
410.547,37074.0,37074
413.137,27610.0,27610
415.723,20978.0,20978
418.305,16036.0,16036
420.883,12595.0,12595
423.457,10306.0,10306
426.027,8715.0,8715
428.593,7691.0,7691
431.154,7074.0,7074
433.712,6454.0,6454
436.265,6302.0,6302
438.814,5991.0,5991
441.359,5803.0,5803
443.900,5724.0,5724
446.436,5539.0,5539
448.967,5526.0,5526
451.495,5572.0,5572
454.018,5399.0,5399
456.536,5467.0,5467
459.050,5390.0,5390
461.559,5339.0,5339
464.064,5422.0,5422
466.564,5358.0,5358
469.060,5414.0,5414
471.551,5379.0,5379
474.037,5358.0,5358
476.518,5471.0,5471
478.995,5353.0,5353
481.467,5311.0,5311
483.934,5419.0,5419
486.396,5302.0,5302
488.853,5360.0,5360
491.305,5414.0,5414
493.753,5280.0,5280
496.195,5384.0,5384
498.632,5341.0,5341
501.065,5320.0,5320
503.492,5423.0,5423
505.914,5360.0,5360
508.332,5308.0,5308
510.743,5438.0,5438
513.150,5255.0,5255
515.552,5451.0,5451
517.948,5418.0,5418
520.339,5276.0,5276
522.725,5392.0,5392
525.106,5330.0,5330
527.481,5370.0,5370
529.851,5438.0,5438
532.216,5267.0,5267
534.575,5394.0,5394
536.929,5408.0,5408
539.277,5295.0,5295
541.620,5457.0,5457
543.957,5349.0,5349
546.289,5387.0,5387
548.616,5424.0,5424
550.936,5271.0,5271
553.252,5460.0,5460
555.561,5354.0,5354
557.865,5325.0,5325
560.164,5372.0,5372
562.457,5310.0,5310
564.744,5320.0,5320
567.025,5418.0,5418
569.301,5267.0,5267
571.571,5450.0,5450
573.835,5366.0,5366
576.093,5299.0,5299
578.346,5425.0,5425
580.593,5335.0,5335
582.834,5341.0,5341
585.069,5435.0,5435
587.299,5333.0,5333
589.522,5437.0,5437
591.740,5298.0,5298
593.952,5309.0,5309
596.158,5325.0,5325
598.358,5348.0,5348
600.551,5351.0,5351
602.739,5411.0,5411
604.922,5283.0,5283
607.098,5388.0,5388
609.268,5293.0,5293
611.432,5396.0,5396
613.590,5410.0,5410
615.742,5266.0,5266
617.887,5332.0,5332
620.027,5443.0,5443
622.161,5232.0,5232
624.289,5402.0,5402
626.410,5318.0,5318
628.526,5230.0,5230
630.635,5414.0,5414
632.738,5402.0,5402
634.835,5312.0,5312
636.926,5413.0,5413
639.011,5210.0,5210
641.089,5387.0,5387
643.162,5329.0,5329
645.228,5285.0,5285
647.288,5462.0,5462
649.341,5391.0,5391
651.389,5363.0,5363
653.430,5428.0,5428
655.465,5361.0,5361
657.494,5362.0,5362
659.516,5321.0,5321
661.532,5302.0,5302
663.542,5418.0,5418
