Wavelength[nm],Average,1
320.469,5372.0,5372
323.166,5338.0,5338
325.861,5374.0,5374
328.553,5283.0,5283
331.243,5419.0,5419
333.930,5320.0,5320
336.615,5309.0,5309
339.297,5442.0,5442
341.976,5294.0,5294
344.653,5292.0,5292
347.327,5377.0,5377
349.998,5300.0,5300
352.666,5349.0,5349
355.331,5280.0,5280
357.994,5275.0,5275
360.653,5369.0,5369
363.309,5245.0,5245
365.962,5301.0,5301
368.612,5351.0,5351
371.259,5264.0,5264
373.903,5366.0,5366
376.543,5271.0,5271
379.180,5236.0,5236
381.813,5427.0,5427
384.443,5291.0,5291
387.070,5308.0,5308
389.693,5473.0,5473
392.313,5283.0,5283
394.929,5327.0,5327
397.541,5339.0,5339
400.150,5392.0,5392
402.755,5393.0,5393
405.356,5354.0,5354
407.954,5328.0,5328
410.547,5320.0,5320
413.137,5289.0,5289
415.723,5341.0,5341
418.305,5325.0,5325
420.883,5283.0,5283
423.457,5451.0,5451
426.027,5328.0,5328
428.593,5378.0,5378
431.154,5401.0,5401
433.712,5200.0,5200
436.265,5422.0,5422
438.814,5367.0,5367
441.359,5307.0,5307
443.900,5365.0,5365
446.436,5214.0,5214
448.967,5326.0,5326
451.495,5383.0,5383
454.018,5204.0,5204
456.536,5356.0,5356
459.050,5285.0,5285
461.559,5301.0,5301
464.064,5339.0,5339
466.564,5257.0,5257
469.060,5316.0,5316
471.551,5345.0,5345
474.037,5281.0,5281
476.518,5413.0,5413
478.995,5245.0,5245
481.467,5324.0,5324
483.934,5380.0,5380
486.396,5230.0,5230
488.853,5282.0,5282
491.305,5367.0,5367
493.753,5145.0,5145
496.195,5326.0,5326
498.632,5253.0,5253
501.065,5236.0,5236
503.492,5380.0,5380
505.914,5276.0,5276
508.332,5266.0,5266
510.743,5320.0,5320
513.150,5213.0,5213
515.552,5423.0,5423
517.948,5363.0,5363
520.339,5252.0,5252
522.725,5367.0,5367
525.106,5313.0,5313
527.481,5299.0,5299
529.851,5390.0,5390
532.216,5175.0,5175
534.575,5336.0,5336
536.929,5283.0,5283
539.277,5267.0,5267
541.620,5415.0,5415
543.957,5281.0,5281
546.289,5319.0,5319
548.616,5396.0,5396
550.936,5226.0,5226
553.252,5400.0,5400
555.561,5300.0,5300
557.865,5257.0,5257
560.164,5336.0,5336
562.457,5272.0,5272
564.744,5297.0,5297
567.025,5336.0,5336
569.301,5213.0,5213
571.571,5368.0,5368
573.835,5337.0,5337
576.093,5231.0,5231
578.346,5398.0,5398
580.593,5273.0,5273
582.834,5236.0,5236
585.069,5410.0,5410
587.299,5260.0,5260
589.522,5454.0,5454
591.740,5252.0,5252
593.952,5300.0,5300
596.158,5259.0,5259
598.358,5332.0,5332
600.551,5361.0,5361
602.739,5348.0,5348
