Wavelength[nm],Average,1
320.469,5402.0,5402
323.166,5327.0,5327
325.861,5369.0,5369
328.553,5271.0,5271
331.243,5425.0,5425
333.930,5328.0,5328
336.615,5326.0,5326
339.297,5433.0,5433
341.976,5300.0,5300
344.653,5289.0,5289
347.327,5430.0,5430
349.998,5333.0,5333
352.666,5358.0,5358
355.331,5343.0,5343
357.994,5303.0,5303
360.653,5423.0,5423
363.309,5305.0,5305
365.962,5338.0,5338
368.612,5316.0,5316
371.259,5329.0,5329
373.903,5443.0,5443
376.543,5300.0,5300
379.180,5314.0,5314
381.813,5403.0,5403
384.443,5262.0,5262
387.070,5372.0,5372
389.693,5444.0,5444
392.313,5301.0,5301
394.929,5273.0,5273
397.541,5354.0,5354
400.150,5382.0,5382
402.755,5426.0,5426
405.356,5322.0,5322
407.954,5319.0,5319
410.547,5292.0,5292
413.137,5256.0,5256
415.723,5288.0,5288
418.305,5305.0,5305
420.883,5331.0,5331
423.457,5437.0,5437
426.027,5312.0,5312
428.593,5319.0,5319
431.154,5350.0,5350
433.712,5276.0,5276
436.265,5415.0,5415
438.814,5338.0,5338
441.359,5326.0,5326
443.900,5352.0,5352
446.436,5214.0,5214
448.967,5314.0,5314
451.495,5389.0,5389
454.018,5209.0,5209
456.536,5369.0,5369
459.050,5277.0,5277
461.559,5263.0,5263
464.064,5369.0,5369
466.564,5251.0,5251
469.060,5321.0,5321
471.551,5322.0,5322
474.037,5276.0,5276
476.518,5455.0,5455
478.995,5341.0,5341
481.467,5291.0,5291
483.934,5401.0,5401
486.396,5228.0,5228
488.853,5302.0,5302
491.305,5433.0,5433
493.753,5155.0,5155
496.195,5379.0,5379
498.632,5251.0,5251
501.065,5238.0,5238
503.492,5402.0,5402
505.914,5270.0,5270
508.332,5291.0,5291
510.743,5352.0,5352
513.150,5204.0,5204
515.552,5390.0,5390
517.948,5351.0,5351
520.339,5286.0,5286
522.725,5317.0,5317
525.106,5323.0,5323
527.481,5348.0,5348
529.851,5368.0,5368
532.216,5203.0,5203
534.575,5385.0,5385
536.929,5325.0,5325
539.277,5230.0,5230
541.620,5399.0,5399
543.957,5278.0,5278
546.289,5364.0,5364
548.616,5371.0,5371
550.936,5199.0,5199
553.252,5412.0,5412
555.561,5282.0,5282
557.865,5276.0,5276
560.164,5299.0,5299
562.457,5279.0,5279
564.744,5241.0,5241
567.025,5304.0,5304
569.301,5270.0,5270
571.571,5365.0,5365
573.835,5358.0,5358
576.093,5283.0,5283
578.346,5431.0,5431
580.593,5266.0,5266
582.834,5277.0,5277
585.069,5392.0,5392
587.299,5229.0,5229
589.522,5429.0,5429
591.740,5239.0,5239
593.952,5320.0,5320
596.158,5246.0,5246
598.358,5313.0,5313
600.551,5306.0,5306
602.739,5318.0,5318
604.922,5140.0,5140
607.098,5259.0,5259
609.268,5243.0,5243
611.432,5328.0,5328
613.590,5415.0,5415
615.742,5211.0,5211
617.887,5299.0,5299
620.027,5407.0,5407
622.161,5204.0,5204
624.289,5396.0,5396
626.410,5268.0,5268
628.526,5196.0,5196
630.635,5416.0,5416
632.738,5385.0,5385
634.835,5371.0,5371
636.926,5374.0,5374
639.011,5243.0,5243
641.089,5389.0,5389
643.162,5359.0,5359
645.228,5371.0,5371
647.288,5455.0,5455
649.341,5282.0,5282
651.389,5305.0,5305
653.430,5339.0,5339
655.465,5289.0,5289
657.494,5378.0,5378
659.516,5347.0,5347
661.532,5332.0,5332
663.542,5423.0,5423
665.546,5305.0,5305
667.543,5291.0,5291
669.535,5427.0,5427
671.519,5206.0,5206
673.498,5436.0,5436
675.470,5415.0,5415
677.436,5345.0,5345
679.396,5333.0,5333
681.349,5306.0,5306
683.296,5349.0,5349
685.236,5460.0,5460
687.171,5321.0,5321
689.099,5502.0,5502
691.020,5379.0,5379
692.935,5395.0,5395
694.844,5402.0,5402
696.747,5366.0,5366
698.643,5364.0,5364
700.533,5478.0,5478
702.416,5271.0,5271
704.293,5348.0,5348
706.164,5360.0,5360
708.029,5359.0,5359
709.887,5495.0,5495
711.738,5358.0,5358
713.584,5358.0,5358
715.423,5454.0,5454
717.255,5317.0,5317
719.082,5449.0,5449
720.901,5352.0,5352
722.715,5377.0,5377
724.522,5357.0,5357
726.323,5331.0,5331
728.117,5429.0,5429
729.905,5385.0,5385
731.687,5321.0,5321
733.462,5413.0,5413
735.232,5319.0,5319
736.994,5332.0,5332
738.751,5501.0,5501
740.501,5304.0,5304
742.244,5276.0,5276
743.982,5415.0,5415
745.713,5388.0,5388
747.437,5443.0,5443
749.156,5325.0,5325
750.868,5345.0,5345
752.573,5420.0,5420
754.273,5338.0,5338
755.966,5373.0,5373
757.653,5353.0,5353
759.333,5291.0,5291
761.008,5404.0,5404
762.676,5347.0,5347
764.337,5399.0,5399
765.993,5403.0,5403
767.642,5308.0,5308
769.285,5344.0,5344
770.922,5382.0,5382
772.552,5208.0,5208
774.176,5381.0,5381
775.795,5354.0,5354
777.406,5326.0,5326
779.012,5409.0,5409
780.611,5346.0,5346
782.205,5329.0,5329
783.792,5376.0,5376
785.373,5244.0,5244
786.947,5384.0,5384
788.516,5322.0,5322
790.078,5320.0,5320
791.635,5331.0,5331
793.185,5310.0,5310
794.729,5299.0,5299
796.267,5382.0,5382
797.799,5329.0,5329
799.325,5370.0,5370
800.844,5317.0,5317
802.358,5278.0,5278
803.866,5321.0,5321
805.368,5288.0,5288
806.863,5256.0,5256
808.353,5468.0,5468
809.836,5208.0,5208
811.314,5310.0,5310
812.786,5328.0,5328
814.252,5367.0,5367
815.711,5353.0,5353
817.165,5284.0,5284
818.613,5298.0,5298
820.055,5382.0,5382
821.491,5208.0,5208
822.922,5405.0,5405
824.346,5303.0,5303
825.765,5256.0,5256
827.178,5389.0,5389
828.585,5288.0,5288
829.986,5291.0,5291
831.381,5399.0,5399
832.771,5185.0,5185
834.155,5382.0,5382
835.533,5408.0,5408
836.906,5291.0,5291
838.272,5431.0,5431
839.633,5314.0,5314
840.989,5283.0,5283
842.339,5446.0,5446
843.683,5317.0,5317
845.021,5334.0,5334
846.354,5364.0,5364
847.682,5348.0,5348
849.004,5398.0,5398
850.320,5359.0,5359
851.631,5316.0,5316
852.936,5409.0,5409
854.236,5287.0,5287
855.530,5488.0,5488
856.819,5359.0,5359
858.102,5293.0,5293
859.380,5410.0,5410
860.653,5298.0,5298
861.920,5323.0,5323
863.182,5502.0,5502
864.439,5224.0,5224
865.690,5366.0,5366
866.936,5390.0,5390
868.177,5267.0,5267
869.412,5517.0,5517
870.642,5328.0,5328
871.867,5330.0,5330
873.087,5439.0,5439
874.302,5322.0,5322
875.512,5378.0,5378
876.716,5377.0,5377
877.916,5289.0,5289
879.110,5369.0,5369
880.299,5341.0,5341
881.483,5296.0,5296
882.663,5391.0,5391
883.837,5278.0,5278
885.006,5407.0,5407
886.170,5394.0,5394
887.330,5346.0,5346
888.484,5453.0,5453
