Wavelength[nm],Average,1
320.469,5419.0,5419
323.166,5344.0,5344
325.861,5357.0,5357
328.553,5282.0,5282
331.243,5446.0,5446
333.930,5320.0,5320
336.615,5297.0,5297
339.297,5395.0,5395
341.976,5264.0,5264
344.653,5322.0,5322
347.327,5377.0,5377
349.998,5247.0,5247
352.666,5357.0,5357
355.331,5305.0,5305
357.994,5342.0,5342
360.653,5387.0,5387
363.309,5255.0,5255
365.962,5343.0,5343
368.612,5314.0,5314
371.259,5297.0,5297
373.903,5457.0,5457
376.543,5256.0,5256
379.180,5277.0,5277
381.813,5364.0,5364
384.443,5207.0,5207
387.070,5345.0,5345
389.693,5467.0,5467
392.313,5289.0,5289
394.929,5391.0,5391
397.541,5298.0,5298
400.150,5369.0,5369
402.755,5360.0,5360
405.356,5322.0,5322
407.954,5331.0,5331
410.547,5330.0,5330
413.137,5303.0,5303
415.723,5349.0,5349
418.305,5455.0,5455
420.883,5484.0,5484
423.457,5735.0,5735
426.027,5690.0,5690
428.593,6071.0,6071
431.154,6540.0,6540
433.712,6894.0,6894
436.265,7923.0,7923
438.814,9213.0,9213
441.359,10952.0,10952
443.900,13611.0,13611
446.436,17335.0,17335
448.967,22259.0,22259
451.495,29384.0,29384
454.018,36964.0,36964
456.536,44833.0,44833
459.050,52051.0,52051
461.559,56319.0,56319
464.064,58817.0,58817
466.564,58163.0,58163
469.060,54301.0,54301
471.551,48480.0,48480
474.037,42156.0,42156
476.518,36512.0,36512
478.995,31423.0,31423
481.467,26880.0,26880
483.934,23207.0,23207
486.396,19458.0,19458
488.853,16788.0,16788
491.305,14435.0,14435
493.753,12493.0,12493
496.195,10991.0,10991
498.632,9736.0,9736
501.065,8900.0,8900
503.492,8282.0,8282
505.914,7501.0,7501
508.332,7033.0,7033
510.743,6758.0,6758
513.150,6292.0,6292
515.552,6227.0,6227
517.948,6041.0,6041
520.339,5850.0,5850
522.725,5864.0,5864
525.106,5673.0,5673
527.481,5621.0,5621
529.851,5630.0,5630
532.216,5486.0,5486
534.575,5539.0,5539
536.929,5474.0,5474
539.277,5410.0,5410
541.620,5522.0,5522
543.957,5428.0,5428
546.289,5397.0,5397
548.616,5497.0,5497
550.936,5288.0,5288
553.252,5427.0,5427
555.561,5360.0,5360
557.865,5359.0,5359
560.164,5357.0,5357
562.457,5329.0,5329
564.744,5340.0,5340
567.025,5427.0,5427
569.301,5248.0,5248
571.571,5340.0,5340
573.835,5324.0,5324
576.093,5321.0,5321
578.346,5452.0,5452
580.593,5283.0,5283
582.834,5306.0,5306
585.069,5382.0,5382
587.299,5243.0,5243
