Wavelength[nm],Average,1
320.469,5400.0,5400
323.166,5297.0,5297
325.861,5354.0,5354
328.553,5273.0,5273
331.243,5403.0,5403
333.930,5246.0,5246
336.615,5297.0,5297
339.297,5360.0,5360
341.976,5272.0,5272
344.653,5260.0,5260
347.327,5406.0,5406
349.998,5275.0,5275
352.666,5333.0,5333
355.331,5269.0,5269
357.994,5361.0,5361
360.653,5418.0,5418
363.309,5243.0,5243
365.962,5309.0,5309
368.612,5331.0,5331
371.259,5327.0,5327
373.903,5382.0,5382
376.543,5253.0,5253
379.180,5244.0,5244
381.813,5330.0,5330
384.443,5248.0,5248
387.070,5353.0,5353
389.693,5435.0,5435
392.313,5279.0,5279
394.929,5363.0,5363
397.541,5333.0,5333
400.150,5372.0,5372
402.755,5369.0,5369
405.356,5310.0,5310
407.954,5277.0,5277
410.547,5366.0,5366
413.137,5203.0,5203
415.723,5276.0,5276
418.305,5298.0,5298
420.883,5368.0,5368
423.457,5437.0,5437
426.027,5261.0,5261
428.593,5324.0,5324
431.154,5357.0,5357
433.712,5219.0,5219
436.265,5450.0,5450
438.814,5340.0,5340
441.359,5346.0,5346
443.900,5439.0,5439
446.436,5260.0,5260
448.967,5267.0,5267
451.495,5392.0,5392
454.018,5230.0,5230
456.536,5297.0,5297
459.050,5261.0,5261
461.559,5272.0,5272
464.064,5370.0,5370
466.564,5207.0,5207
469.060,5338.0,5338
471.551,5370.0,5370
474.037,5329.0,5329
476.518,5420.0,5420
478.995,5302.0,5302
481.467,5290.0,5290
483.934,5396.0,5396
486.396,5252.0,5252
488.853,5279.0,5279
491.305,5386.0,5386
493.753,5226.0,5226
496.195,5257.0,5257
498.632,5239.0,5239
501.065,5284.0,5284
503.492,5482.0,5482
505.914,5295.0,5295
508.332,5312.0,5312
510.743,5393.0,5393
513.150,5207.0,5207
515.552,5414.0,5414
517.948,5407.0,5407
520.339,5291.0,5291
522.725,5364.0,5364
525.106,5365.0,5365
527.481,5350.0,5350
529.851,5448.0,5448
532.216,5244.0,5244
534.575,5408.0,5408
536.929,5366.0,5366
539.277,5300.0,5300
541.620,5436.0,5436
543.957,5317.0,5317
546.289,5357.0,5357
548.616,5423.0,5423
550.936,5202.0,5202
553.252,5412.0,5412
555.561,5309.0,5309
557.865,5293.0,5293
560.164,5321.0,5321
562.457,5281.0,5281
564.744,5331.0,5331
567.025,5413.0,5413
569.301,5287.0,5287
571.571,5386.0,5386
573.835,5339.0,5339
576.093,5320.0,5320
578.346,5469.0,5469
580.593,5305.0,5305
582.834,5251.0,5251
585.069,5360.0,5360
587.299,5252.0,5252
589.522,5426.0,5426
591.740,5324.0,5324
593.952,5294.0,5294
596.158,5283.0,5283
598.358,5334.0,5334
600.551,5307.0,5307
602.739,5362.0,5362
604.922,5258.0,5258
