Wavelength[nm],Average,1
320.469,5345.0,5345
323.166,5245.0,5245
325.861,5354.0,5354
328.553,5157.0,5157
331.243,5355.0,5355
333.930,5256.0,5256
336.615,5279.0,5279
339.297,5352.0,5352
341.976,5316.0,5316
344.653,5257.0,5257
347.327,5308.0,5308
349.998,5210.0,5210
352.666,5336.0,5336
355.331,5263.0,5263
357.994,5265.0,5265
360.653,5364.0,5364
363.309,5235.0,5235
365.962,5287.0,5287
368.612,5255.0,5255
371.259,5266.0,5266
373.903,5348.0,5348
376.543,5210.0,5210
379.180,5197.0,5197
381.813,5321.0,5321
384.443,5251.0,5251
387.070,5269.0,5269
389.693,5343.0,5343
392.313,5240.0,5240
394.929,5305.0,5305
397.541,5282.0,5282
400.150,5306.0,5306
402.755,5270.0,5270
405.356,5283.0,5283
407.954,5269.0,5269
410.547,5250.0,5250
413.137,5226.0,5226
415.723,5266.0,5266
418.305,5290.0,5290
420.883,5282.0,5282
423.457,5393.0,5393
426.027,5184.0,5184
428.593,5330.0,5330
431.154,5366.0,5366
433.712,5188.0,5188
436.265,5383.0,5383
438.814,5351.0,5351
441.359,5324.0,5324
443.900,5363.0,5363
446.436,5218.0,5218
448.967,5292.0,5292
451.495,5326.0,5326
454.018,5190.0,5190
456.536,5353.0,5353
459.050,5278.0,5278
461.559,5308.0,5308
464.064,5364.0,5364
466.564,5259.0,5259
469.060,5282.0,5282
471.551,5346.0,5346
474.037,5323.0,5323
476.518,5407.0,5407
478.995,5303.0,5303
481.467,5286.0,5286
483.934,5436.0,5436
486.396,5283.0,5283
488.853,5259.0,5259
491.305,5456.0,5456
493.753,5243.0,5243
496.195,5298.0,5298
498.632,5315.0,5315
501.065,5291.0,5291
503.492,5465.0,5465
505.914,5342.0,5342
508.332,5287.0,5287
510.743,5421.0,5421
513.150,5234.0,5234
515.552,5430.0,5430
517.948,5399.0,5399
520.339,5267.0,5267
522.725,5407.0,5407
525.106,5327.0,5327
527.481,5325.0,5325
529.851,5397.0,5397
532.216,5245.0,5245
534.575,5384.0,5384
536.929,5377.0,5377
539.277,5295.0,5295
541.620,5443.0,5443
543.957,5360.0,5360
546.289,5344.0,5344
548.616,5424.0,5424
550.936,5258.0,5258
553.252,5412.0,5412
555.561,5328.0,5328
557.865,5319.0,5319
560.164,5376.0,5376
562.457,5324.0,5324
564.744,5338.0,5338
567.025,5360.0,5360
569.301,5350.0,5350
571.571,5387.0,5387
573.835,5324.0,5324
576.093,5304.0,5304
578.346,5495.0,5495
580.593,5330.0,5330
582.834,5265.0,5265
585.069,5422.0,5422
587.299,5275.0,5275
589.522,5417.0,5417
591.740,5325.0,5325
593.952,5302.0,5302
596.158,5313.0,5313
598.358,5390.0,5390
600.551,5332.0,5332
602.739,5370.0,5370
604.922,5279.0,5279
607.098,5355.0,5355
609.268,5269.0,5269
611.432,5325.0,5325
613.590,5436.0,5436
615.742,5210.0,5210
617.887,5375.0,5375
620.027,5457.0,5457
622.161,5217.0,5217
624.289,5384.0,5384
626.410,5271.0,5271
628.526,5268.0,5268
630.635,5367.0,5367
632.738,5372.0,5372
634.835,5365.0,5365
636.926,5386.0,5386
639.011,5266.0,5266
641.089,5406.0,5406
643.162,5368.0,5368
645.228,5305.0,5305
647.288,5457.0,5457
649.341,5360.0,5360
651.389,5348.0,5348
653.430,5370.0,5370
655.465,5309.0,5309
657.494,5401.0,5401
659.516,5330.0,5330
661.532,5353.0,5353
663.542,5421.0,5421
665.546,5262.0,5262
667.543,5316.0,5316
669.535,5398.0,5398
671.519,5257.0,5257
673.498,5415.0,5415
675.470,5396.0,5396
677.436,5333.0,5333
679.396,5338.0,5338
681.349,5331.0,5331
683.296,5332.0,5332
685.236,5432.0,5432
687.171,5261.0,5261
689.099,5399.0,5399
691.020,5315.0,5315
692.935,5347.0,5347
694.844,5375.0,5375
696.747,5276.0,5276
698.643,5330.0,5330
700.533,5398.0,5398
702.416,5334.0,5334
704.293,5339.0,5339
706.164,5327.0,5327
708.029,5313.0,5313
709.887,5442.0,5442
711.738,5324.0,5324
713.584,5373.0,5373
715.423,5461.0,5461
717.255,5285.0,5285
719.082,5417.0,5417
720.901,5306.0,5306
722.715,5332.0,5332
724.522,5366.0,5366
726.323,5314.0,5314
728.117,5339.0,5339
729.905,5358.0,5358
731.687,5210.0,5210
733.462,5351.0,5351
735.232,5293.0,5293
736.994,5295.0,5295
738.751,5494.0,5494
740.501,5302.0,5302
742.244,5331.0,5331
743.982,5374.0,5374
745.713,5336.0,5336
747.437,5419.0,5419
749.156,5340.0,5340
750.868,5293.0,5293
752.573,5454.0,5454
754.273,5322.0,5322
755.966,5364.0,5364
757.653,5305.0,5305
759.333,5242.0,5242
761.008,5365.0,5365
762.676,5374.0,5374
764.337,5316.0,5316
765.993,5394.0,5394
767.642,5284.0,5284
769.285,5286.0,5286
770.922,5359.0,5359
772.552,5281.0,5281
774.176,5438.0,5438
775.795,5323.0,5323
777.406,5295.0,5295
779.012,5390.0,5390
780.611,5337.0,5337
782.205,5347.0,5347
783.792,5343.0,5343
785.373,5278.0,5278
786.947,5378.0,5378
788.516,5332.0,5332
790.078,5279.0,5279
791.635,5374.0,5374
793.185,5355.0,5355
794.729,5385.0,5385
796.267,5388.0,5388
797.799,5295.0,5295
799.325,5338.0,5338
800.844,5342.0,5342
802.358,5272.0,5272
803.866,5347.0,5347
805.368,5325.0,5325
806.863,5295.0,5295
808.353,5498.0,5498
809.836,5259.0,5259
811.314,5357.0,5357
812.786,5331.0,5331
814.252,5397.0,5397
815.711,5425.0,5425
817.165,5307.0,5307
818.613,5275.0,5275
820.055,5419.0,5419
821.491,5232.0,5232
822.922,5438.0,5438
824.346,5282.0,5282
825.765,5318.0,5318
827.178,5421.0,5421
828.585,5328.0,5328
829.986,5394.0,5394
831.381,5418.0,5418
832.771,5247.0,5247
834.155,5362.0,5362
835.533,5343.0,5343
836.906,5297.0,5297
838.272,5481.0,5481
839.633,5325.0,5325
840.989,5336.0,5336
842.339,5457.0,5457
843.683,5395.0,5395
845.021,5411.0,5411
846.354,5366.0,5366
847.682,5352.0,5352
849.004,5423.0,5423
850.320,5396.0,5396
851.631,5333.0,5333
852.936,5399.0,5399
854.236,5328.0,5328
855.530,5512.0,5512
856.819,5425.0,5425
858.102,5296.0,5296
859.380,5520.0,5520
860.653,5376.0,5376
861.920,5404.0,5404
863.182,5529.0,5529
864.439,5312.0,5312
865.690,5380.0,5380
866.936,5395.0,5395
868.177,5306.0,5306
869.412,5506.0,5506
870.642,5393.0,5393
871.867,5379.0,5379
873.087,5455.0,5455
874.302,5317.0,5317
875.512,5411.0,5411
876.716,5397.0,5397
877.916,5345.0,5345
879.110,5470.0,5470
880.299,5348.0,5348
881.483,5285.0,5285
882.663,5331.0,5331
883.837,5268.0,5268
885.006,5442.0,5442
886.170,5455.0,5455
887.330,5385.0,5385
888.484,5403.0,5403
