Wavelength[nm],Average,1
320.469,5415.0,5415
323.166,5365.0,5365
325.861,5413.0,5413
328.553,5304.0,5304
331.243,5384.0,5384
333.930,5282.0,5282
336.615,5332.0,5332
339.297,5416.0,5416
341.976,5316.0,5316
344.653,5315.0,5315
347.327,5430.0,5430
349.998,5344.0,5344
352.666,5360.0,5360
355.331,5346.0,5346
357.994,5328.0,5328
360.653,5438.0,5438
363.309,5359.0,5359
365.962,5361.0,5361
368.612,5397.0,5397
371.259,5268.0,5268
373.903,5491.0,5491
376.543,5318.0,5318
379.180,5346.0,5346
381.813,5466.0,5466
384.443,5327.0,5327
387.070,5389.0,5389
389.693,5486.0,5486
392.313,5352.0,5352
394.929,5414.0,5414
397.541,5358.0,5358
400.150,5385.0,5385
402.755,5469.0,5469
405.356,5391.0,5391
407.954,5432.0,5432
410.547,5393.0,5393
413.137,5330.0,5330
415.723,5406.0,5406
418.305,5438.0,5438
420.883,5421.0,5421
423.457,5580.0,5580
426.027,5415.0,5415
428.593,5446.0,5446
431.154,5485.0,5485
433.712,5341.0,5341
436.265,5522.0,5522
438.814,5491.0,5491
441.359,5491.0,5491
443.900,5667.0,5667
446.436,5569.0,5569
448.967,5664.0,5664
451.495,5907.0,5907
454.018,5844.0,5844
456.536,6174.0,6174
459.050,6286.0,6286
461.559,6674.0,6674
464.064,7132.0,7132
466.564,7612.0,7612
469.060,8527.0,8527
471.551,9428.0,9428
474.037,10594.0,10594
476.518,12310.0,12310
478.995,14076.0,14076
481.467,16067.0,16067
483.934,18663.0,18663
486.396,21425.0,21425
488.853,24847.0,24847
491.305,29095.0,29095
493.753,33308.0,33308
496.195,37856.0,37856
498.632,42052.0,42052
501.065,45739.0,45739
503.492,48391.0,48391
505.914,50443.0,50443
508.332,51572.0,51572
510.743,51086.0,51086
513.150,49568.0,49568
515.552,46954.0,46954
517.948,44245.0,44245
520.339,40686.0,40686
522.725,37274.0,37274
525.106,33300.0,33300
527.481,29882.0,29882
529.851,27095.0,27095
532.216,24032.0,24032
534.575,21740.0,21740
536.929,19038.0,19038
539.277,16656.0,16656
541.620,14959.0,14959
543.957,13223.0,13223
546.289,12007.0,12007
548.616,11184.0,11184
550.936,10125.0,10125
553.252,9449.0,9449
555.561,8830.0,8830
557.865,8351.0,8351
560.164,7882.0,7882
562.457,7415.0,7415
564.744,7062.0,7062
567.025,6923.0,6923
569.301,6572.0,6572
571.571,6479.0,6479
573.835,6260.0,6260
576.093,6028.0,6028
578.346,6102.0,6102
580.593,5871.0,5871
582.834,5796.0,5796
585.069,5836.0,5836
587.299,5653.0,5653
589.522,5800.0,5800
591.740,5544.0,5544
593.952,5535.0,5535
596.158,5483.0,5483
598.358,5468.0,5468
600.551,5413.0,5413
602.739,5448.0,5448
604.922,5327.0,5327
607.098,5415.0,5415
609.268,5426.0,5426
611.432,5452.0,5452
613.590,5484.0,5484
615.742,5315.0,5315
617.887,5340.0,5340
620.027,5492.0,5492
622.161,5277.0,5277
624.289,5404.0,5404
626.410,5289.0,5289
628.526,5254.0,5254
630.635,5404.0,5404
632.738,5441.0,5441
634.835,5360.0,5360
636.926,5329.0,5329
639.011,5243.0,5243
641.089,5396.0,5396
643.162,5353.0,5353
645.228,5328.0,5328
647.288,5425.0,5425
649.341,5348.0,5348
651.389,5383.0,5383
653.430,5382.0,5382
655.465,5305.0,5305
657.494,5412.0,5412
659.516,5354.0,5354
661.532,5323.0,5323
663.542,5498.0,5498
665.546,5307.0,5307
667.543,5277.0,5277
669.535,5408.0,5408
671.519,5252.0,5252
673.498,5433.0,5433
675.470,5441.0,5441
677.436,5262.0,5262
679.396,5354.0,5354
681.349,5294.0,5294
683.296,5347.0,5347
685.236,5438.0,5438
687.171,5291.0,5291
689.099,5457.0,5457
691.020,5343.0,5343
692.935,5369.0,5369
694.844,5364.0,5364
696.747,5311.0,5311
698.643,5300.0,5300
700.533,5390.0,5390
702.416,5315.0,5315
704.293,5322.0,5322
706.164,5298.0,5298
708.029,5307.0,5307
709.887,5482.0,5482
711.738,5358.0,5358
713.584,5365.0,5365
715.423,5495.0,5495
717.255,5268.0,5268
719.082,5494.0,5494
720.901,5310.0,5310
722.715,5315.0,5315
724.522,5426.0,5426
726.323,5388.0,5388
728.117,5392.0,5392
729.905,5431.0,5431
731.687,5353.0,5353
733.462,5386.0,5386
735.232,5312.0,5312
736.994,5378.0,5378
738.751,5438.0,5438
740.501,5285.0,5285
742.244,5362.0,5362
743.982,5394.0,5394
745.713,5414.0,5414
747.437,5458.0,5458
749.156,5432.0,5432
750.868,5289.0,5289
752.573,5435.0,5435
754.273,5381.0,5381
755.966,5396.0,5396
757.653,5399.0,5399
759.333,5325.0,5325
761.008,5473.0,5473
762.676,5379.0,5379
764.337,5363.0,5363
765.993,5397.0,5397
767.642,5305.0,5305
769.285,5311.0,5311
770.922,5427.0,5427
772.552,5251.0,5251
774.176,5419.0,5419
775.795,5387.0,5387
777.406,5338.0,5338
779.012,5406.0,5406
780.611,5356.0,5356
782.205,5326.0,5326
783.792,5412.0,5412
785.373,5332.0,5332
786.947,5358.0,5358
788.516,5268.0,5268
790.078,5320.0,5320
791.635,5379.0,5379
793.185,5338.0,5338
794.729,5323.0,5323
796.267,5379.0,5379
797.799,5332.0,5332
799.325,5372.0,5372
800.844,5367.0,5367
802.358,5282.0,5282
803.866,5387.0,5387
805.368,5356.0,5356
806.863,5258.0,5258
808.353,5519.0,5519
809.836,5238.0,5238
811.314,5334.0,5334
812.786,5333.0,5333
814.252,5313.0,5313
815.711,5423.0,5423
817.165,5279.0,5279
818.613,5317.0,5317
820.055,5415.0,5415
821.491,5198.0,5198
822.922,5416.0,5416
824.346,5305.0,5305
825.765,5369.0,5369
827.178,5414.0,5414
828.585,5263.0,5263
829.986,5345.0,5345
831.381,5389.0,5389
832.771,5190.0,5190
834.155,5365.0,5365
835.533,5320.0,5320
836.906,5305.0,5305
838.272,5377.0,5377
839.633,5335.0,5335
840.989,5282.0,5282
842.339,5394.0,5394
843.683,5324.0,5324
845.021,5351.0,5351
846.354,5351.0,5351
847.682,5351.0,5351
849.004,5432.0,5432
850.320,5372.0,5372
