Wavelength[nm],Average,1
320.469,5424.0,5424
323.166,5377.0,5377
325.861,5404.0,5404
328.553,5235.0,5235
331.243,5382.0,5382
333.930,5290.0,5290
336.615,5324.0,5324
339.297,5374.0,5374
341.976,5239.0,5239
344.653,5278.0,5278
347.327,5383.0,5383
349.998,5275.0,5275
352.666,5346.0,5346
355.331,5281.0,5281
357.994,5305.0,5305
360.653,5443.0,5443
363.309,5277.0,5277
365.962,5333.0,5333
368.612,5363.0,5363
371.259,5321.0,5321
373.903,5415.0,5415
376.543,5335.0,5335
379.180,5343.0,5343
381.813,5397.0,5397
384.443,5285.0,5285
387.070,5334.0,5334
389.693,5493.0,5493
392.313,5312.0,5312
394.929,5317.0,5317
397.541,5358.0,5358
400.150,5408.0,5408
402.755,5414.0,5414
405.356,5305.0,5305
407.954,5375.0,5375
410.547,5293.0,5293
413.137,5285.0,5285
415.723,5328.0,5328
418.305,5264.0,5264
420.883,5326.0,5326
423.457,5439.0,5439
426.027,5302.0,5302
428.593,5390.0,5390
431.154,5321.0,5321
433.712,5288.0,5288
436.265,5490.0,5490
438.814,5337.0,5337
441.359,5345.0,5345
443.900,5403.0,5403
446.436,5306.0,5306
448.967,5338.0,5338
451.495,5379.0,5379
454.018,5267.0,5267
456.536,5386.0,5386
459.050,5326.0,5326
461.559,5278.0,5278
464.064,5364.0,5364
466.564,5287.0,5287
469.060,5323.0,5323
471.551,5308.0,5308
474.037,5283.0,5283
476.518,5467.0,5467
478.995,5318.0,5318
481.467,5367.0,5367
483.934,5353.0,5353
486.396,5293.0,5293
488.853,5290.0,5290
491.305,5412.0,5412
493.753,5221.0,5221
496.195,5357.0,5357
498.632,5307.0,5307
501.065,5239.0,5239
503.492,5394.0,5394
505.914,5271.0,5271
508.332,5256.0,5256
510.743,5389.0,5389
513.150,5152.0,5152
515.552,5389.0,5389
517.948,5411.0,5411
520.339,5229.0,5229
522.725,5342.0,5342
525.106,5316.0,5316
527.481,5324.0,5324
529.851,5396.0,5396
532.216,5233.0,5233
534.575,5387.0,5387
536.929,5290.0,5290
539.277,5231.0,5231
541.620,5393.0,5393
543.957,5274.0,5274
546.289,5325.0,5325
548.616,5405.0,5405
550.936,5261.0,5261
553.252,5348.0,5348
555.561,5293.0,5293
557.865,5240.0,5240
560.164,5307.0,5307
562.457,5230.0,5230
564.744,5250.0,5250
567.025,5360.0,5360
569.301,5288.0,5288
571.571,5354.0,5354
573.835,5291.0,5291
576.093,5217.0,5217
578.346,5428.0,5428
580.593,5257.0,5257
582.834,5293.0,5293
585.069,5369.0,5369
587.299,5251.0,5251
589.522,5374.0,5374
591.740,5272.0,5272
593.952,5283.0,5283
596.158,5252.0,5252
598.358,5271.0,5271
600.551,5320.0,5320
602.739,5354.0,5354
604.922,5213.0,5213
607.098,5268.0,5268
609.268,5254.0,5254
611.432,5341.0,5341
613.590,5361.0,5361
615.742,5211.0,5211
617.887,5349.0,5349
620.027,5422.0,5422
622.161,5190.0,5190
624.289,5389.0,5389
626.410,5232.0,5232
628.526,5231.0,5231
630.635,5400.0,5400
632.738,5413.0,5413
634.835,5299.0,5299
636.926,5311.0,5311
639.011,5166.0,5166
641.089,5346.0,5346
643.162,5319.0,5319
645.228,5303.0,5303
647.288,5426.0,5426
649.341,5338.0,5338
651.389,5363.0,5363
653.430,5359.0,5359
