Wavelength[nm],Average,1
320.469,5419.0,5419
323.166,5338.0,5338
325.861,5370.0,5370
328.553,5237.0,5237
331.243,5361.0,5361
333.930,5275.0,5275
336.615,5327.0,5327
339.297,5453.0,5453
341.976,5253.0,5253
344.653,5299.0,5299
347.327,5380.0,5380
349.998,5258.0,5258
352.666,5322.0,5322
355.331,5244.0,5244
357.994,5332.0,5332
360.653,5404.0,5404
363.309,5287.0,5287
365.962,5275.0,5275
368.612,5356.0,5356
371.259,5233.0,5233
373.903,5417.0,5417
376.543,5289.0,5289
379.180,5312.0,5312
381.813,5409.0,5409
384.443,5309.0,5309
387.070,5322.0,5322
389.693,5463.0,5463
392.313,5277.0,5277
394.929,5306.0,5306
397.541,5320.0,5320
400.150,5350.0,5350
402.755,5410.0,5410
405.356,5277.0,5277
407.954,5325.0,5325
410.547,5354.0,5354
413.137,5260.0,5260
415.723,5338.0,5338
418.305,5355.0,5355
420.883,5301.0,5301
423.457,5422.0,5422
426.027,5290.0,5290
428.593,5383.0,5383
431.154,5357.0,5357
433.712,5213.0,5213
436.265,5437.0,5437
438.814,5365.0,5365
441.359,5320.0,5320
443.900,5345.0,5345
446.436,5218.0,5218
448.967,5260.0,5260
451.495,5349.0,5349
454.018,5228.0,5228
456.536,5359.0,5359
459.050,5289.0,5289
461.559,5295.0,5295
464.064,5359.0,5359
466.564,5254.0,5254
469.060,5299.0,5299
471.551,5333.0,5333
474.037,5270.0,5270
476.518,5401.0,5401
478.995,5299.0,5299
481.467,5263.0,5263
483.934,5362.0,5362
486.396,5227.0,5227
488.853,5294.0,5294
491.305,5428.0,5428
493.753,5182.0,5182
496.195,5335.0,5335
498.632,5237.0,5237
501.065,5250.0,5250
503.492,5448.0,5448
505.914,5283.0,5283
508.332,5257.0,5257
510.743,5340.0,5340
513.150,5176.0,5176
515.552,5354.0,5354
517.948,5361.0,5361
520.339,5261.0,5261
522.725,5356.0,5356
525.106,5320.0,5320
527.481,5318.0,5318
529.851,5378.0,5378
532.216,5196.0,5196
534.575,5336.0,5336
536.929,5270.0,5270
539.277,5222.0,5222
541.620,5359.0,5359
543.957,5237.0,5237
546.289,5267.0,5267
548.616,5355.0,5355
550.936,5182.0,5182
553.252,5328.0,5328
555.561,5274.0,5274
557.865,5289.0,5289
560.164,5350.0,5350
562.457,5201.0,5201
564.744,5206.0,5206
567.025,5319.0,5319
569.301,5233.0,5233
571.571,5292.0,5292
573.835,5282.0,5282
576.093,5221.0,5221
578.346,5392.0,5392
580.593,5240.0,5240
582.834,5233.0,5233
585.069,5340.0,5340
587.299,5225.0,5225
589.522,5397.0,5397
591.740,5232.0,5232
593.952,5227.0,5227
596.158,5300.0,5300
598.358,5241.0,5241
600.551,5279.0,5279
602.739,5371.0,5371
604.922,5156.0,5156
607.098,5321.0,5321
609.268,5291.0,5291
611.432,5388.0,5388
613.590,5346.0,5346
615.742,5191.0,5191
617.887,5308.0,5308
620.027,5396.0,5396
622.161,5184.0,5184
624.289,5335.0,5335
626.410,5230.0,5230
628.526,5190.0,5190
630.635,5380.0,5380
632.738,5314.0,5314
634.835,5336.0,5336
636.926,5345.0,5345
639.011,5181.0,5181
641.089,5349.0,5349
643.162,5304.0,5304
645.228,5292.0,5292
647.288,5357.0,5357
649.341,5292.0,5292
651.389,5327.0,5327
653.430,5377.0,5377
655.465,5274.0,5274
657.494,5394.0,5394
659.516,5335.0,5335
661.532,5301.0,5301
663.542,5421.0,5421
665.546,5228.0,5228
667.543,5224.0,5224
669.535,5387.0,5387
671.519,5205.0,5205
673.498,5436.0,5436
675.470,5387.0,5387
677.436,5292.0,5292
679.396,5374.0,5374
681.349,5291.0,5291
683.296,5321.0,5321
685.236,5384.0,5384
687.171,5269.0,5269
689.099,5457.0,5457
691.020,5327.0,5327
692.935,5357.0,5357
694.844,5360.0,5360
696.747,5330.0,5330
698.643,5363.0,5363
700.533,5433.0,5433
702.416,5268.0,5268
704.293,5316.0,5316
706.164,5351.0,5351
708.029,5296.0,5296
709.887,5505.0,5505
711.738,5305.0,5305
713.584,5345.0,5345
715.423,5446.0,5446
717.255,5322.0,5322
719.082,5446.0,5446
720.901,5299.0,5299
722.715,5335.0,5335
724.522,5348.0,5348
726.323,5320.0,5320
728.117,5441.0,5441
729.905,5458.0,5458
731.687,5293.0,5293
733.462,5458.0,5458
735.232,5330.0,5330
736.994,5341.0,5341
738.751,5463.0,5463
740.501,5339.0,5339
742.244,5348.0,5348
743.982,5382.0,5382
745.713,5403.0,5403
747.437,5468.0,5468
749.156,5356.0,5356
750.868,5346.0,5346
752.573,5469.0,5469
754.273,5335.0,5335
755.966,5370.0,5370
757.653,5412.0,5412
759.333,5277.0,5277
761.008,5457.0,5457
762.676,5369.0,5369
764.337,5311.0,5311
765.993,5486.0,5486
767.642,5350.0,5350
769.285,5359.0,5359
770.922,5415.0,5415
772.552,5297.0,5297
774.176,5415.0,5415
775.795,5359.0,5359
777.406,5353.0,5353
779.012,5421.0,5421
780.611,5378.0,5378
782.205,5373.0,5373
783.792,5372.0,5372
785.373,5339.0,5339
786.947,5383.0,5383
788.516,5299.0,5299
790.078,5271.0,5271
791.635,5386.0,5386
793.185,5358.0,5358
794.729,5344.0,5344
796.267,5426.0,5426
797.799,5346.0,5346
799.325,5337.0,5337
800.844,5266.0,5266
802.358,5291.0,5291
803.866,5306.0,5306
805.368,5381.0,5381
806.863,5321.0,5321
808.353,5492.0,5492
809.836,5298.0,5298
811.314,5372.0,5372
812.786,5345.0,5345
814.252,5313.0,5313
815.711,5388.0,5388
817.165,5311.0,5311
818.613,5347.0,5347
820.055,5403.0,5403
821.491,5209.0,5209
822.922,5449.0,5449
824.346,5275.0,5275
825.765,5311.0,5311
827.178,5401.0,5401
828.585,5296.0,5296
829.986,5348.0,5348
831.381,5435.0,5435
832.771,5208.0,5208
834.155,5320.0,5320
835.533,5343.0,5343
836.906,5296.0,5296
838.272,5400.0,5400
839.633,5271.0,5271
840.989,5276.0,5276
842.339,5358.0,5358
843.683,5289.0,5289
845.021,5349.0,5349
846.354,5326.0,5326
847.682,5362.0,5362
849.004,5444.0,5444
850.320,5412.0,5412
851.631,5261.0,5261
852.936,5410.0,5410
854.236,5281.0,5281
855.530,5428.0,5428
856.819,5412.0,5412
858.102,5244.0,5244
859.380,5414.0,5414
860.653,5307.0,5307
861.920,5356.0,5356
863.182,5526.0,5526
864.439,5263.0,5263
865.690,5311.0,5311
866.936,5364.0,5364
