Wavelength[nm],Average,1
320.469,5405.0,5405
323.166,5312.0,5312
325.861,5335.0,5335
328.553,5228.0,5228
331.243,5341.0,5341
333.930,5297.0,5297
336.615,5328.0,5328
339.297,5373.0,5373
341.976,5276.0,5276
344.653,5284.0,5284
347.327,5389.0,5389
349.998,5310.0,5310
352.666,5310.0,5310
355.331,5316.0,5316
357.994,5339.0,5339
360.653,5413.0,5413
363.309,5253.0,5253
365.962,5313.0,5313
368.612,5340.0,5340
371.259,5350.0,5350
373.903,5462.0,5462
376.543,5251.0,5251
379.180,5243.0,5243
381.813,5393.0,5393
384.443,5290.0,5290
387.070,5369.0,5369
389.693,5447.0,5447
392.313,5276.0,5276
394.929,5329.0,5329
397.541,5286.0,5286
400.150,5376.0,5376
402.755,5445.0,5445
405.356,5285.0,5285
407.954,5243.0,5243
410.547,5302.0,5302
413.137,5260.0,5260
415.723,5308.0,5308
418.305,5347.0,5347
420.883,5353.0,5353
423.457,5357.0,5357
426.027,5283.0,5283
428.593,5383.0,5383
431.154,5359.0,5359
433.712,5178.0,5178
436.265,5424.0,5424
438.814,5311.0,5311
441.359,5395.0,5395
443.900,5382.0,5382
446.436,5264.0,5264
448.967,5272.0,5272
451.495,5314.0,5314
454.018,5237.0,5237
456.536,5369.0,5369
459.050,5271.0,5271
461.559,5262.0,5262
464.064,5367.0,5367
466.564,5249.0,5249
469.060,5328.0,5328
471.551,5363.0,5363
474.037,5299.0,5299
476.518,5446.0,5446
478.995,5306.0,5306
481.467,5294.0,5294
483.934,5367.0,5367
486.396,5226.0,5226
488.853,5261.0,5261
491.305,5458.0,5458
493.753,5257.0,5257
496.195,5445.0,5445
498.632,5321.0,5321
501.065,5295.0,5295
503.492,5442.0,5442
505.914,5304.0,5304
508.332,5290.0,5290
510.743,5429.0,5429
513.150,5241.0,5241
515.552,5446.0,5446
517.948,5377.0,5377
520.339,5289.0,5289
522.725,5360.0,5360
525.106,5380.0,5380
527.481,5314.0,5314
529.851,5410.0,5410
532.216,5287.0,5287
534.575,5393.0,5393
536.929,5323.0,5323
539.277,5256.0,5256
541.620,5457.0,5457
543.957,5291.0,5291
546.289,5410.0,5410
548.616,5458.0,5458
550.936,5343.0,5343
553.252,5478.0,5478
555.561,5397.0,5397
557.865,5402.0,5402
560.164,5468.0,5468
562.457,5408.0,5408
564.744,5416.0,5416
567.025,5535.0,5535
569.301,5385.0,5385
571.571,5498.0,5498
573.835,5603.0,5603
576.093,5522.0,5522
578.346,5818.0,5818
580.593,5720.0,5720
582.834,5843.0,5843
585.069,6058.0,6058
587.299,6044.0,6044
589.522,6460.0,6460
591.740,6475.0,6475
593.952,6829.0,6829
596.158,7071.0,7071
598.358,7346.0,7346
600.551,7898.0,7898
602.739,8392.0,8392
604.922,8894.0,8894
607.098,10000.0,10000
609.268,11159.0,11159
611.432,12783.0,12783
613.590,14767.0,14767
615.742,17115.0,17115
617.887,20226.0,20226
620.027,24213.0,24213
622.161,28562.0,28562
624.289,33966.0,33966
626.410,40008.0,40008
628.526,45712.0,45712
630.635,50952.0,50952
632.738,55759.0,55759
634.835,59310.0,59310
636.926,61229.0,61229
639.011,61599.0,61599
641.089,61445.0,61445
643.162,57616.0,57616
645.228,52604.0,52604
647.288,49639.0,49639
649.341,47265.0,47265
651.389,44715.0,44715
653.430,41749.0,41749
655.465,37121.0,37121
657.494,31262.0,31262
659.516,24962.0,24962
661.532,20009.0,20009
663.542,16296.0,16296
665.546,12994.0,12994
667.543,10831.0,10831
669.535,9361.0,9361
671.519,7843.0,7843
673.498,7223.0,7223
675.470,6716.0,6716
