Wavelength[nm],Average,1
320.469,5427.0,5427
323.166,5373.0,5373
325.861,5387.0,5387
328.553,5262.0,5262
331.243,5401.0,5401
333.930,5284.0,5284
336.615,5318.0,5318
339.297,5427.0,5427
341.976,5312.0,5312
344.653,5339.0,5339
347.327,5436.0,5436
349.998,5275.0,5275
352.666,5347.0,5347
355.331,5293.0,5293
357.994,5339.0,5339
360.653,5421.0,5421
363.309,5305.0,5305
365.962,5337.0,5337
368.612,5341.0,5341
371.259,5268.0,5268
373.903,5486.0,5486
376.543,5306.0,5306
379.180,5267.0,5267
381.813,5415.0,5415
384.443,5343.0,5343
387.070,5320.0,5320
389.693,5444.0,5444
392.313,5325.0,5325
394.929,5357.0,5357
397.541,5357.0,5357
400.150,5400.0,5400
402.755,5434.0,5434
405.356,5404.0,5404
407.954,5334.0,5334
410.547,5392.0,5392
413.137,5262.0,5262
415.723,5358.0,5358
418.305,5343.0,5343
420.883,5380.0,5380
423.457,5499.0,5499
426.027,5408.0,5408
428.593,5358.0,5358
431.154,5380.0,5380
433.712,5222.0,5222
436.265,5467.0,5467
438.814,5347.0,5347
441.359,5366.0,5366
443.900,5408.0,5408
446.436,5287.0,5287
448.967,5341.0,5341
451.495,5451.0,5451
454.018,5281.0,5281
456.536,5397.0,5397
459.050,5312.0,5312
461.559,5316.0,5316
464.064,5443.0,5443
466.564,5332.0,5332
469.060,5388.0,5388
471.551,5374.0,5374
474.037,5355.0,5355
476.518,5437.0,5437
478.995,5316.0,5316
481.467,5338.0,5338
483.934,5428.0,5428
486.396,5272.0,5272
488.853,5331.0,5331
491.305,5446.0,5446
493.753,5243.0,5243
496.195,5437.0,5437
498.632,5283.0,5283
501.065,5334.0,5334
503.492,5411.0,5411
505.914,5326.0,5326
508.332,5343.0,5343
510.743,5410.0,5410
513.150,5215.0,5215
515.552,5457.0,5457
517.948,5389.0,5389
520.339,5272.0,5272
522.725,5322.0,5322
525.106,5324.0,5324
527.481,5331.0,5331
529.851,5445.0,5445
532.216,5301.0,5301
534.575,5379.0,5379
536.929,5361.0,5361
539.277,5297.0,5297
541.620,5416.0,5416
543.957,5322.0,5322
546.289,5327.0,5327
548.616,5411.0,5411
550.936,5264.0,5264
553.252,5404.0,5404
555.561,5249.0,5249
557.865,5318.0,5318
560.164,5387.0,5387
562.457,5245.0,5245
564.744,5243.0,5243
567.025,5386.0,5386
569.301,5277.0,5277
571.571,5353.0,5353
573.835,5367.0,5367
576.093,5233.0,5233
578.346,5395.0,5395
580.593,5301.0,5301
582.834,5287.0,5287
585.069,5309.0,5309
587.299,5227.0,5227
589.522,5432.0,5432
591.740,5238.0,5238
593.952,5298.0,5298
596.158,5307.0,5307
598.358,5285.0,5285
600.551,5284.0,5284
602.739,5332.0,5332
604.922,5216.0,5216
607.098,5322.0,5322
609.268,5280.0,5280
611.432,5361.0,5361
613.590,5414.0,5414
615.742,5222.0,5222
617.887,5297.0,5297
620.027,5405.0,5405
622.161,5226.0,5226
624.289,5384.0,5384
626.410,5246.0,5246
628.526,5207.0,5207
630.635,5324.0,5324
632.738,5306.0,5306
634.835,5291.0,5291
636.926,5356.0,5356
639.011,5157.0,5157
641.089,5375.0,5375
643.162,5352.0,5352
645.228,5306.0,5306
647.288,5415.0,5415
649.341,5277.0,5277
651.389,5344.0,5344
653.430,5320.0,5320
655.465,5304.0,5304
657.494,5391.0,5391
659.516,5296.0,5296
661.532,5267.0,5267
663.542,5413.0,5413
665.546,5262.0,5262
667.543,5265.0,5265
669.535,5381.0,5381
671.519,5279.0,5279
673.498,5425.0,5425
675.470,5391.0,5391
677.436,5311.0,5311
679.396,5359.0,5359
681.349,5337.0,5337
683.296,5293.0,5293
685.236,5428.0,5428
687.171,5266.0,5266
689.099,5452.0,5452
691.020,5361.0,5361
692.935,5417.0,5417
694.844,5383.0,5383
696.747,5319.0,5319
698.643,5368.0,5368
700.533,5404.0,5404
702.416,5332.0,5332
704.293,5359.0,5359
706.164,5363.0,5363
708.029,5356.0,5356
709.887,5469.0,5469
711.738,5356.0,5356
713.584,5358.0,5358
715.423,5478.0,5478
717.255,5290.0,5290
719.082,5487.0,5487
720.901,5326.0,5326
722.715,5337.0,5337
724.522,5364.0,5364
726.323,5371.0,5371
728.117,5395.0,5395
729.905,5402.0,5402
731.687,5314.0,5314
733.462,5470.0,5470
735.232,5320.0,5320
736.994,5289.0,5289
738.751,5468.0,5468
740.501,5319.0,5319
742.244,5336.0,5336
743.982,5432.0,5432
745.713,5364.0,5364
747.437,5477.0,5477
749.156,5339.0,5339
750.868,5270.0,5270
752.573,5458.0,5458
754.273,5373.0,5373
755.966,5386.0,5386
757.653,5442.0,5442
759.333,5328.0,5328
761.008,5419.0,5419
762.676,5386.0,5386
764.337,5350.0,5350
765.993,5388.0,5388
767.642,5337.0,5337
769.285,5339.0,5339
770.922,5362.0,5362
772.552,5313.0,5313
774.176,5445.0,5445
775.795,5326.0,5326
777.406,5296.0,5296
779.012,5408.0,5408
780.611,5358.0,5358
782.205,5337.0,5337
783.792,5359.0,5359
785.373,5294.0,5294
786.947,5357.0,5357
788.516,5356.0,5356
790.078,5318.0,5318
791.635,5391.0,5391
793.185,5358.0,5358
794.729,5349.0,5349
796.267,5402.0,5402
797.799,5361.0,5361
799.325,5346.0,5346
800.844,5300.0,5300
802.358,5323.0,5323
803.866,5384.0,5384
805.368,5374.0,5374
806.863,5283.0,5283
808.353,5497.0,5497
809.836,5252.0,5252
811.314,5343.0,5343
812.786,5372.0,5372
814.252,5327.0,5327
815.711,5387.0,5387
817.165,5282.0,5282
818.613,5286.0,5286
820.055,5398.0,5398
821.491,5250.0,5250
822.922,5416.0,5416
824.346,5353.0,5353
825.765,5335.0,5335
827.178,5442.0,5442
828.585,5261.0,5261
829.986,5364.0,5364
831.381,5382.0,5382
832.771,5150.0,5150
834.155,5362.0,5362
835.533,5358.0,5358
836.906,5253.0,5253
838.272,5403.0,5403
839.633,5331.0,5331
840.989,5296.0,5296
842.339,5403.0,5403
843.683,5311.0,5311
845.021,5344.0,5344
846.354,5334.0,5334
847.682,5258.0,5258
849.004,5434.0,5434
850.320,5363.0,5363
851.631,5271.0,5271
852.936,5401.0,5401
854.236,5248.0,5248
855.530,5434.0,5434
856.819,5374.0,5374
858.102,5251.0,5251
859.380,5459.0,5459
860.653,5259.0,5259
861.920,5362.0,5362
863.182,5518.0,5518
864.439,5279.0,5279
865.690,5334.0,5334
866.936,5412.0,5412
868.177,5330.0,5330
869.412,5491.0,5491
870.642,5316.0,5316
871.867,5331.0,5331
873.087,5405.0,5405
874.302,5310.0,5310
875.512,5346.0,5346
876.716,5326.0,5326
877.916,5283.0,5283
879.110,5392.0,5392
880.299,5297.0,5297
881.483,5330.0,5330
882.663,5405.0,5405
883.837,5256.0,5256
885.006,5425.0,5425
886.170,5447.0,5447
887.330,5351.0,5351
888.484,5400.0,5400
