Wavelength[nm],Average,1
320.469,5421.0,5421
323.166,5360.0,5360
325.861,5332.0,5332
328.553,5223.0,5223
331.243,5405.0,5405
333.930,5312.0,5312
336.615,5285.0,5285
339.297,5417.0,5417
341.976,5237.0,5237
344.653,5223.0,5223
347.327,5387.0,5387
349.998,5263.0,5263
352.666,5289.0,5289
355.331,5251.0,5251
357.994,5265.0,5265
360.653,5352.0,5352
363.309,5249.0,5249
365.962,5279.0,5279
368.612,5295.0,5295
371.259,5217.0,5217
373.903,5444.0,5444
376.543,5285.0,5285
379.180,5265.0,5265
381.813,5356.0,5356
384.443,5263.0,5263
387.070,5287.0,5287
389.693,5465.0,5465
392.313,5331.0,5331
394.929,5321.0,5321
397.541,5321.0,5321
400.150,5353.0,5353
402.755,5369.0,5369
405.356,5328.0,5328
407.954,5337.0,5337
410.547,5334.0,5334
413.137,5267.0,5267
415.723,5270.0,5270
418.305,5324.0,5324
420.883,5281.0,5281
423.457,5425.0,5425
426.027,5271.0,5271
428.593,5327.0,5327
431.154,5390.0,5390
433.712,5231.0,5231
436.265,5481.0,5481
438.814,5343.0,5343
441.359,5333.0,5333
443.900,5340.0,5340
446.436,5215.0,5215
448.967,5282.0,5282
451.495,5389.0,5389
454.018,5227.0,5227
456.536,5316.0,5316
459.050,5245.0,5245
461.559,5257.0,5257
464.064,5345.0,5345
466.564,5191.0,5191
469.060,5339.0,5339
471.551,5358.0,5358
474.037,5336.0,5336
476.518,5423.0,5423
478.995,5345.0,5345
481.467,5388.0,5388
483.934,5378.0,5378
486.396,5255.0,5255
488.853,5281.0,5281
491.305,5425.0,5425
493.753,5258.0,5258
496.195,5395.0,5395
498.632,5316.0,5316
501.065,5291.0,5291
503.492,5408.0,5408
505.914,5334.0,5334
508.332,5299.0,5299
510.743,5398.0,5398
513.150,5242.0,5242
515.552,5470.0,5470
517.948,5408.0,5408
520.339,5298.0,5298
522.725,5370.0,5370
525.106,5401.0,5401
527.481,5320.0,5320
529.851,5435.0,5435
532.216,5240.0,5240
534.575,5371.0,5371
536.929,5308.0,5308
539.277,5278.0,5278
541.620,5383.0,5383
543.957,5332.0,5332
546.289,5394.0,5394
548.616,5438.0,5438
550.936,5276.0,5276
553.252,5410.0,5410
555.561,5379.0,5379
557.865,5318.0,5318
560.164,5472.0,5472
562.457,5276.0,5276
564.744,5311.0,5311
567.025,5340.0,5340
569.301,5218.0,5218
571.571,5367.0,5367
573.835,5389.0,5389
576.093,5314.0,5314
578.346,5418.0,5418
580.593,5330.0,5330
582.834,5299.0,5299
585.069,5403.0,5403
587.299,5285.0,5285
589.522,5423.0,5423
591.740,5304.0,5304
593.952,5341.0,5341
596.158,5293.0,5293
598.358,5373.0,5373
600.551,5355.0,5355
602.739,5404.0,5404
604.922,5219.0,5219
607.098,5352.0,5352
609.268,5347.0,5347
611.432,5353.0,5353
613.590,5447.0,5447
615.742,5283.0,5283
617.887,5337.0,5337
620.027,5451.0,5451
622.161,5215.0,5215
624.289,5393.0,5393
626.410,5303.0,5303
628.526,5169.0,5169
630.635,5418.0,5418
632.738,5363.0,5363
634.835,5297.0,5297
636.926,5326.0,5326
639.011,5241.0,5241
641.089,5436.0,5436
643.162,5329.0,5329
645.228,5345.0,5345
647.288,5452.0,5452
649.341,5318.0,5318
651.389,5368.0,5368
653.430,5404.0,5404
655.465,5346.0,5346
657.494,5377.0,5377
659.516,5353.0,5353
661.532,5346.0,5346
663.542,5442.0,5442
665.546,5281.0,5281
667.543,5275.0,5275
669.535,5347.0,5347
671.519,5192.0,5192
673.498,5444.0,5444
675.470,5324.0,5324
677.436,5287.0,5287
679.396,5339.0,5339
681.349,5349.0,5349
683.296,5338.0,5338
685.236,5400.0,5400
687.171,5250.0,5250
689.099,5430.0,5430
691.020,5287.0,5287
692.935,5330.0,5330
694.844,5329.0,5329
696.747,5265.0,5265
698.643,5306.0,5306
700.533,5379.0,5379
702.416,5288.0,5288
704.293,5296.0,5296
706.164,5320.0,5320
708.029,5274.0,5274
709.887,5471.0,5471
711.738,5265.0,5265
713.584,5319.0,5319
715.423,5436.0,5436
717.255,5232.0,5232
719.082,5443.0,5443
720.901,5285.0,5285
722.715,5321.0,5321
724.522,5358.0,5358
726.323,5325.0,5325
728.117,5332.0,5332
729.905,5305.0,5305
731.687,5311.0,5311
733.462,5415.0,5415
735.232,5303.0,5303
736.994,5340.0,5340
738.751,5403.0,5403
740.501,5284.0,5284
742.244,5292.0,5292
743.982,5428.0,5428
745.713,5336.0,5336
747.437,5440.0,5440
749.156,5354.0,5354
750.868,5238.0,5238
752.573,5438.0,5438
754.273,5284.0,5284
755.966,5344.0,5344
757.653,5329.0,5329
759.333,5233.0,5233
761.008,5351.0,5351
762.676,5308.0,5308
764.337,5302.0,5302
765.993,5354.0,5354
767.642,5239.0,5239
769.285,5315.0,5315
770.922,5319.0,5319
772.552,5280.0,5280
774.176,5400.0,5400
775.795,5342.0,5342
777.406,5305.0,5305
779.012,5395.0,5395
780.611,5310.0,5310
782.205,5364.0,5364
783.792,5368.0,5368
785.373,5312.0,5312
786.947,5371.0,5371
788.516,5347.0,5347
790.078,5293.0,5293
791.635,5311.0,5311
793.185,5321.0,5321
794.729,5361.0,5361
796.267,5388.0,5388
797.799,5285.0,5285
799.325,5343.0,5343
800.844,5325.0,5325
802.358,5346.0,5346
803.866,5348.0,5348
805.368,5362.0,5362
806.863,5283.0,5283
808.353,5463.0,5463
809.836,5272.0,5272
811.314,5327.0,5327
812.786,5341.0,5341
814.252,5341.0,5341
815.711,5440.0,5440
817.165,5329.0,5329
818.613,5367.0,5367
820.055,5470.0,5470
821.491,5282.0,5282
822.922,5467.0,5467
824.346,5363.0,5363
825.765,5325.0,5325
827.178,5461.0,5461
828.585,5340.0,5340
829.986,5388.0,5388
831.381,5451.0,5451
832.771,5214.0,5214
834.155,5441.0,5441
835.533,5420.0,5420
836.906,5358.0,5358
838.272,5434.0,5434
839.633,5347.0,5347
840.989,5329.0,5329
842.339,5431.0,5431
843.683,5322.0,5322
845.021,5401.0,5401
846.354,5389.0,5389
847.682,5331.0,5331
849.004,5508.0,5508
850.320,5459.0,5459
851.631,5355.0,5355
852.936,5455.0,5455
854.236,5300.0,5300
855.530,5510.0,5510
856.819,5443.0,5443
858.102,5284.0,5284
859.380,5504.0,5504
860.653,5316.0,5316
861.920,5338.0,5338
863.182,5522.0,5522
864.439,5303.0,5303
865.690,5384.0,5384
866.936,5452.0,5452
868.177,5352.0,5352
869.412,5490.0,5490
870.642,5412.0,5412
871.867,5397.0,5397
873.087,5421.0,5421
874.302,5358.0,5358
875.512,5458.0,5458
876.716,5394.0,5394
877.916,5338.0,5338
879.110,5494.0,5494
880.299,5350.0,5350
881.483,5374.0,5374
882.663,5443.0,5443
883.837,5308.0,5308
885.006,5488.0,5488
886.170,5500.0,5500
887.330,5364.0,5364
888.484,5417.0,5417
