Wavelength[nm],Average,1
320.469,5407.0,5407
323.166,5340.0,5340
325.861,5363.0,5363
328.553,5223.0,5223
331.243,5435.0,5435
333.930,5276.0,5276
336.615,5316.0,5316
339.297,5396.0,5396
341.976,5313.0,5313
344.653,5335.0,5335
347.327,5401.0,5401
349.998,5288.0,5288
352.666,5374.0,5374
355.331,5287.0,5287
357.994,5350.0,5350
360.653,5471.0,5471
363.309,5323.0,5323
365.962,5349.0,5349
368.612,5379.0,5379
371.259,5294.0,5294
373.903,5407.0,5407
376.543,5320.0,5320
379.180,5360.0,5360
381.813,5428.0,5428
384.443,5333.0,5333
387.070,5366.0,5366
389.693,5473.0,5473
392.313,5363.0,5363
394.929,5467.0,5467
397.541,5359.0,5359
400.150,5384.0,5384
402.755,5400.0,5400
405.356,5370.0,5370
407.954,5352.0,5352
410.547,5339.0,5339
413.137,5337.0,5337
415.723,5357.0,5357
418.305,5386.0,5386
420.883,5365.0,5365
423.457,5532.0,5532
426.027,5318.0,5318
428.593,5432.0,5432
431.154,5443.0,5443
433.712,5248.0,5248
436.265,5496.0,5496
438.814,5413.0,5413
441.359,5387.0,5387
443.900,5464.0,5464
446.436,5349.0,5349
448.967,5333.0,5333
451.495,5433.0,5433
454.018,5276.0,5276
456.536,5407.0,5407
459.050,5358.0,5358
461.559,5349.0,5349
464.064,5461.0,5461
466.564,5320.0,5320
469.060,5377.0,5377
471.551,5406.0,5406
474.037,5336.0,5336
476.518,5514.0,5514
478.995,5328.0,5328
481.467,5348.0,5348
483.934,5474.0,5474
486.396,5312.0,5312
488.853,5311.0,5311
491.305,5459.0,5459
493.753,5275.0,5275
496.195,5429.0,5429
498.632,5369.0,5369
501.065,5331.0,5331
503.492,5495.0,5495
505.914,5322.0,5322
508.332,5345.0,5345
510.743,5394.0,5394
513.150,5282.0,5282
515.552,5413.0,5413
517.948,5451.0,5451
520.339,5289.0,5289
522.725,5459.0,5459
525.106,5427.0,5427
527.481,5403.0,5403
529.851,5503.0,5503
532.216,5392.0,5392
534.575,5469.0,5469
536.929,5507.0,5507
539.277,5474.0,5474
541.620,5663.0,5663
543.957,5617.0,5617
546.289,5674.0,5674
548.616,5876.0,5876
550.936,5874.0,5874
553.252,6170.0,6170
555.561,6224.0,6224
557.865,6428.0,6428
560.164,6883.0,6883
562.457,7204.0,7204
564.744,7767.0,7767
567.025,8490.0,8490
569.301,9266.0,9266
571.571,10384.0,10384
573.835,11601.0,11601
576.093,13118.0,13118
578.346,15387.0,15387
580.593,17858.0,17858
582.834,21135.0,21135
585.069,25682.0,25682
587.299,31449.0,31449
589.522,38366.0,38366
591.740,46206.0,46206
593.952,52881.0,52881
596.158,57301.0,57301
598.358,58358.0,58358
600.551,55377.0,55377
602.739,48049.0,48049
604.922,39771.0,39771
607.098,32220.0,32220
609.268,26618.0,26618
611.432,22878.0,22878
613.590,19966.0,19966
615.742,16948.0,16948
617.887,14361.0,14361
620.027,12129.0,12129
622.161,10065.0,10065
624.289,8785.0,8785
626.410,7681.0,7681
628.526,6941.0,6941
