Wavelength[nm],Average,1
320.469,5377.0,5377
323.166,5309.0,5309
325.861,5353.0,5353
328.553,5216.0,5216
331.243,5406.0,5406
333.930,5258.0,5258
336.615,5248.0,5248
339.297,5429.0,5429
341.976,5226.0,5226
344.653,5278.0,5278
347.327,5358.0,5358
349.998,5252.0,5252
352.666,5320.0,5320
355.331,5295.0,5295
357.994,5332.0,5332
360.653,5404.0,5404
363.309,5265.0,5265
365.962,5253.0,5253
368.612,5303.0,5303
371.259,5279.0,5279
373.903,5378.0,5378
376.543,5213.0,5213
379.180,5268.0,5268
381.813,5273.0,5273
384.443,5229.0,5229
387.070,5348.0,5348
389.693,5438.0,5438
392.313,5284.0,5284
394.929,5338.0,5338
397.541,5313.0,5313
400.150,5368.0,5368
402.755,5374.0,5374
405.356,5288.0,5288
407.954,5309.0,5309
410.547,5279.0,5279
413.137,5245.0,5245
415.723,5265.0,5265
418.305,5334.0,5334
420.883,5311.0,5311
423.457,5424.0,5424
426.027,5282.0,5282
428.593,5394.0,5394
431.154,5345.0,5345
433.712,5200.0,5200
436.265,5439.0,5439
438.814,5402.0,5402
441.359,5351.0,5351
443.900,5401.0,5401
446.436,5270.0,5270
448.967,5329.0,5329
451.495,5372.0,5372
454.018,5213.0,5213
456.536,5368.0,5368
459.050,5303.0,5303
461.559,5273.0,5273
464.064,5427.0,5427
466.564,5271.0,5271
469.060,5304.0,5304
471.551,5349.0,5349
474.037,5343.0,5343
476.518,5420.0,5420
478.995,5333.0,5333
481.467,5331.0,5331
483.934,5369.0,5369
486.396,5285.0,5285
488.853,5306.0,5306
491.305,5430.0,5430
493.753,5246.0,5246
496.195,5417.0,5417
498.632,5296.0,5296
501.065,5295.0,5295
503.492,5397.0,5397
505.914,5327.0,5327
508.332,5362.0,5362
510.743,5450.0,5450
513.150,5221.0,5221
515.552,5429.0,5429
517.948,5386.0,5386
520.339,5263.0,5263
522.725,5386.0,5386
525.106,5400.0,5400
527.481,5347.0,5347
529.851,5434.0,5434
532.216,5259.0,5259
534.575,5399.0,5399
536.929,5347.0,5347
539.277,5302.0,5302
541.620,5447.0,5447
543.957,5301.0,5301
546.289,5376.0,5376
548.616,5432.0,5432
550.936,5251.0,5251
553.252,5456.0,5456
555.561,5360.0,5360
557.865,5365.0,5365
560.164,5344.0,5344
562.457,5311.0,5311
564.744,5314.0,5314
567.025,5401.0,5401
569.301,5304.0,5304
571.571,5443.0,5443
573.835,5376.0,5376
576.093,5314.0,5314
578.346,5461.0,5461
580.593,5314.0,5314
582.834,5310.0,5310
585.069,5391.0,5391
587.299,5264.0,5264
589.522,5510.0,5510
591.740,5305.0,5305
593.952,5324.0,5324
596.158,5342.0,5342
598.358,5363.0,5363
600.551,5365.0,5365
602.739,5358.0,5358
604.922,5162.0,5162
607.098,5384.0,5384
609.268,5324.0,5324
611.432,5377.0,5377
613.590,5492.0,5492
615.742,5310.0,5310
617.887,5341.0,5341
620.027,5466.0,5466
622.161,5253.0,5253
624.289,5399.0,5399
626.410,5302.0,5302
628.526,5240.0,5240
630.635,5402.0,5402
632.738,5389.0,5389
634.835,5292.0,5292
636.926,5386.0,5386
639.011,5181.0,5181
641.089,5380.0,5380
643.162,5356.0,5356
645.228,5346.0,5346
647.288,5387.0,5387
649.341,5319.0,5319
651.389,5366.0,5366
653.430,5344.0,5344
655.465,5271.0,5271
657.494,5395.0,5395
659.516,5331.0,5331
661.532,5316.0,5316
663.542,5428.0,5428
665.546,5309.0,5309
667.543,5226.0,5226
669.535,5398.0,5398
671.519,5192.0,5192
673.498,5462.0,5462
675.470,5394.0,5394
677.436,5325.0,5325
679.396,5393.0,5393
681.349,5324.0,5324
683.296,5368.0,5368
685.236,5388.0,5388
687.171,5267.0,5267
689.099,5426.0,5426
691.020,5336.0,5336
692.935,5362.0,5362
694.844,5347.0,5347
696.747,5294.0,5294
698.643,5325.0,5325
700.533,5402.0,5402
702.416,5268.0,5268
704.293,5248.0,5248
706.164,5273.0,5273
708.029,5273.0,5273
709.887,5441.0,5441
711.738,5308.0,5308
713.584,5335.0,5335
715.423,5398.0,5398
717.255,5257.0,5257
719.082,5364.0,5364
720.901,5317.0,5317
722.715,5299.0,5299
724.522,5341.0,5341
726.323,5291.0,5291
728.117,5354.0,5354
729.905,5365.0,5365
731.687,5268.0,5268
733.462,5320.0,5320
735.232,5282.0,5282
736.994,5310.0,5310
738.751,5374.0,5374
740.501,5274.0,5274
742.244,5297.0,5297
743.982,5367.0,5367
745.713,5339.0,5339
747.437,5417.0,5417
749.156,5346.0,5346
750.868,5243.0,5243
752.573,5339.0,5339
754.273,5270.0,5270
755.966,5355.0,5355
757.653,5401.0,5401
759.333,5256.0,5256
761.008,5387.0,5387
762.676,5313.0,5313
764.337,5289.0,5289
765.993,5425.0,5425
767.642,5260.0,5260
769.285,5327.0,5327
770.922,5419.0,5419
772.552,5267.0,5267
774.176,5373.0,5373
775.795,5273.0,5273
777.406,5381.0,5381
779.012,5403.0,5403
780.611,5360.0,5360
782.205,5334.0,5334
783.792,5368.0,5368
785.373,5274.0,5274
786.947,5371.0,5371
788.516,5360.0,5360
790.078,5312.0,5312
791.635,5351.0,5351
793.185,5372.0,5372
794.729,5342.0,5342
796.267,5390.0,5390
797.799,5294.0,5294
799.325,5397.0,5397
800.844,5338.0,5338
802.358,5311.0,5311
803.866,5350.0,5350
805.368,5315.0,5315
806.863,5261.0,5261
808.353,5497.0,5497
809.836,5267.0,5267
811.314,5391.0,5391
812.786,5375.0,5375
814.252,5323.0,5323
815.711,5431.0,5431
817.165,5292.0,5292
818.613,5348.0,5348
820.055,5411.0,5411
821.491,5239.0,5239
822.922,5514.0,5514
824.346,5308.0,5308
825.765,5330.0,5330
827.178,5457.0,5457
828.585,5344.0,5344
829.986,5339.0,5339
831.381,5474.0,5474
832.771,5242.0,5242
834.155,5443.0,5443
835.533,5381.0,5381
836.906,5294.0,5294
838.272,5435.0,5435
839.633,5349.0,5349
840.989,5373.0,5373
842.339,5439.0,5439
843.683,5360.0,5360
845.021,5393.0,5393
846.354,5421.0,5421
847.682,5319.0,5319
849.004,5462.0,5462
850.320,5422.0,5422
851.631,5305.0,5305
852.936,5404.0,5404
854.236,5326.0,5326
855.530,5530.0,5530
856.819,5464.0,5464
858.102,5339.0,5339
859.380,5445.0,5445
860.653,5365.0,5365
861.920,5431.0,5431
863.182,5484.0,5484
864.439,5300.0,5300
865.690,5388.0,5388
866.936,5408.0,5408
868.177,5375.0,5375
869.412,5494.0,5494
870.642,5360.0,5360
871.867,5398.0,5398
873.087,5476.0,5476
874.302,5359.0,5359
875.512,5457.0,5457
876.716,5440.0,5440
877.916,5345.0,5345
879.110,5453.0,5453
880.299,5387.0,5387
881.483,5355.0,5355
882.663,5464.0,5464
883.837,5343.0,5343
885.006,5490.0,5490
886.170,5484.0,5484
887.330,5353.0,5353
888.484,5441.0,5441
