Wavelength[nm],Average,1
320.469,5424.0,5424
323.166,5321.0,5321
325.861,5397.0,5397
328.553,5240.0,5240
331.243,5411.0,5411
333.930,5274.0,5274
336.615,5330.0,5330
339.297,5379.0,5379
341.976,5287.0,5287
344.653,5304.0,5304
347.327,5405.0,5405
349.998,5357.0,5357
352.666,5360.0,5360
355.331,5346.0,5346
357.994,5340.0,5340
360.653,5443.0,5443
363.309,5334.0,5334
365.962,5363.0,5363
368.612,5353.0,5353
371.259,5346.0,5346
373.903,5446.0,5446
376.543,5316.0,5316
379.180,5300.0,5300
381.813,5426.0,5426
384.443,5291.0,5291
387.070,5365.0,5365
389.693,5456.0,5456
392.313,5302.0,5302
394.929,5438.0,5438
397.541,5381.0,5381
400.150,5393.0,5393
402.755,5404.0,5404
405.356,5352.0,5352
407.954,5337.0,5337
410.547,5339.0,5339
413.137,5290.0,5290
415.723,5359.0,5359
418.305,5374.0,5374
420.883,5307.0,5307
423.457,5489.0,5489
426.027,5345.0,5345
428.593,5439.0,5439
431.154,5406.0,5406
433.712,5245.0,5245
436.265,5462.0,5462
438.814,5370.0,5370
441.359,5328.0,5328
443.900,5414.0,5414
446.436,5252.0,5252
448.967,5311.0,5311
451.495,5409.0,5409
454.018,5232.0,5232
456.536,5401.0,5401
459.050,5358.0,5358
461.559,5332.0,5332
464.064,5372.0,5372
466.564,5286.0,5286
469.060,5365.0,5365
471.551,5367.0,5367
474.037,5344.0,5344
476.518,5445.0,5445
478.995,5291.0,5291
481.467,5341.0,5341
483.934,5436.0,5436
486.396,5285.0,5285
488.853,5318.0,5318
491.305,5402.0,5402
493.753,5205.0,5205
496.195,5403.0,5403
498.632,5303.0,5303
501.065,5327.0,5327
503.492,5421.0,5421
505.914,5306.0,5306
508.332,5289.0,5289
510.743,5415.0,5415
513.150,5266.0,5266
515.552,5439.0,5439
517.948,5413.0,5413
520.339,5286.0,5286
522.725,5444.0,5444
525.106,5385.0,5385
527.481,5342.0,5342
529.851,5462.0,5462
532.216,5254.0,5254
534.575,5395.0,5395
536.929,5381.0,5381
539.277,5235.0,5235
541.620,5467.0,5467
543.957,5276.0,5276
546.289,5339.0,5339
548.616,5402.0,5402
550.936,5231.0,5231
553.252,5348.0,5348
555.561,5301.0,5301
557.865,5275.0,5275
560.164,5323.0,5323
562.457,5266.0,5266
564.744,5251.0,5251
567.025,5352.0,5352
569.301,5241.0,5241
571.571,5344.0,5344
573.835,5345.0,5345
576.093,5280.0,5280
578.346,5390.0,5390
580.593,5248.0,5248
582.834,5293.0,5293
585.069,5372.0,5372
587.299,5196.0,5196
589.522,5386.0,5386
591.740,5219.0,5219
593.952,5331.0,5331
596.158,5301.0,5301
598.358,5323.0,5323
600.551,5299.0,5299
602.739,5281.0,5281
604.922,5189.0,5189
607.098,5318.0,5318
609.268,5322.0,5322
611.432,5304.0,5304
613.590,5422.0,5422
615.742,5230.0,5230
617.887,5296.0,5296
620.027,5392.0,5392
622.161,5221.0,5221
624.289,5365.0,5365
626.410,5310.0,5310
628.526,5196.0,5196
630.635,5358.0,5358
632.738,5356.0,5356
634.835,5342.0,5342
636.926,5350.0,5350
639.011,5206.0,5206
641.089,5426.0,5426
643.162,5364.0,5364
645.228,5324.0,5324
647.288,5446.0,5446
649.341,5291.0,5291
651.389,5335.0,5335
653.430,5366.0,5366
655.465,5306.0,5306
657.494,5344.0,5344
659.516,5354.0,5354
661.532,5318.0,5318
663.542,5405.0,5405
665.546,5298.0,5298
667.543,5273.0,5273
669.535,5386.0,5386
671.519,5247.0,5247
673.498,5439.0,5439
675.470,5405.0,5405
677.436,5323.0,5323
679.396,5370.0,5370
681.349,5347.0,5347
683.296,5367.0,5367
