"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda","comment","depth","Id"
"1",60.2682347965034,10,360,100,2317.78190994263,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"2",43.8543007606788,3.5,360,100,525.074714244671,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"3",39.6209114547694,3,360,100,376.609108113698,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"4",47.8832005424648,4.5,360,100,1097.95835801908,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"5",46.8646873717335,4,360,100,763.823005596844,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"6",48.8111609756098,5.5,360,100,1589.82417835809,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"7",51.4194750656168,5,360,100,1023.56838002048,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"8",52.0133095586831,6.5,360,100,1625.14188874889,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"9",50.9917484151999,6,360,100,1403.56163051965,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"10",54.5984522785899,7.5,360,100,1938.2527182069,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"11",52.5460810931766,7,360,100,1865.01578569931,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"12",56.6664521399045,8.5,360,100,1926.18565753133,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"13",55.1365897307682,8,360,100,1886.87443005687,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"14",62.4116245469063,9.5,360,100,1878.62094664465,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"15",57.727067778532,9,360,100,2131.32689975919,"H4W261","Red",630,"",300,"H4W261  :    :  300  (nm)"
"16",86.3539931816912,10,385,100,1211.09167861938,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"17",45.0397866756963,3.5,385,100,868.732704337461,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"18",39.1434754933164,3,385,100,658.570720162781,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"19",54.7976324317175,4.5,385,100,1031.39010919708,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"20",49.9593813349351,4,385,100,967.367911129206,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"21",62.7402533513713,5.5,385,100,1074.92356751997,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"22",58.9870007535795,5,385,100,1062.19026932443,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"23",69.6067323481117,6.5,385,100,1113.45527303747,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"24",66.349487194866,6,385,100,1091.07574358992,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"25",74.8570884871551,7.5,385,100,1135.71190085553,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"26",72.4094324355566,7,385,100,1130.23240415936,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"27",79.8893896400156,8.5,385,100,1158.21872183305,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"28",77.5491222147198,8,385,100,1145.78374522919,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"29",84.3884168638417,9.5,385,100,1196.17468983411,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"30",82.20551979928,9,385,100,1179.56077418268,"C7W260","Red",630,"",200,"C7W260  :    :  200  (nm)"
"31",79.8724167252024,10,390,100,1371.74689483643,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"32",57.3824983299933,3.5,390,100,809.73670529727,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"33",50.2814250155569,3,390,100,686.543521378909,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"34",65.0815207984769,4.5,390,100,945.710234725039,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"35",63.2286385557067,4,390,100,857.814309521169,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"36",71.5130416267433,5.5,390,100,1022.55843317854,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"37",68.7529887093203,5,390,100,930.451758496157,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"38",72.3732615736331,6.5,390,100,1105.4193123851,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"39",71.3941562313655,6,390,100,1046.3366688143,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"40",76.5706118038986,7.5,390,100,1244.03309123358,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"41",76.0913070371604,7,390,100,1075.90310484522,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"42",76.4077392911677,8.5,390,100,1320.36797314282,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"43",76.6531820204717,8,390,100,1158.0859362945,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"44",80.9612841930248,9.5,390,100,1249.7525998801,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"45",82.6375577306046,9,390,100,1231.51110220451,"E7W260","Red",630,"",-1,"E7W260  :    :  -1  (nm)"
"46",86.9521730950141,10,300,100,1344.11464691162,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"47",63.5457943925234,3.5,300,100,779.884218434614,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"48",57.1481147393108,3,300,100,562.967521446645,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"49",75.2841533353456,4.5,300,100,828.748405394595,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"50",69.9415460776847,4,300,100,785.300204750834,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
"51",80.1329013992487,5.5,300,100,1040.00478992501,"H9W261","Red",630,"",50,"H9W261  :    :  50  (nm)"
