"","signal","voltage","threshold","delay","nPixel","sensor","LED","lambda"
"1",68.6953239162202,10,360,100,2317.78190994263,"H4W261","Red",630
"2",45.9927708243418,3.5,360,100,525.074714244671,"H4W261","Red",630
"3",39.7619900771775,3,360,100,376.609108113698,"H4W261","Red",630
"4",54.801987281399,4.5,360,100,1097.95835801908,"H4W261","Red",630
"5",51.4532244196045,4,360,100,763.823005596844,"H4W261","Red",630
"6",58.2911305305168,5.5,360,100,1589.82417835809,"H4W261","Red",630
"7",58.635295058372,5,360,100,1023.56838002048,"H4W261","Red",630
"8",61.3571031672532,6.5,360,100,1625.14188874889,"H4W261","Red",630
"9",60.3072071480192,6,360,100,1403.56163051965,"H4W261","Red",630
"10",63.5498644347519,7.5,360,100,1938.2527182069,"H4W261","Red",630
"11",61.8438821042743,7,360,100,1865.01578569931,"H4W261","Red",630
"12",64.8007336831915,8.5,360,100,1926.18565753133,"H4W261","Red",630
"13",63.7679712245665,8,360,100,1886.87443005687,"H4W261","Red",630
"14",70.5851279124072,9.5,360,100,1878.62094664465,"H4W261","Red",630
"15",78.6397677212655,9,360,100,2131.32689975919,"H4W261","Red",630
"16",95.0326951160149,10,385,100,1211.09167861938,"C7W260","Red",630
"17",46.9016504198436,3.5,385,100,868.732704337461,"C7W260","Red",630
"18",39.5274017610724,3,385,100,658.570720162781,"C7W260","Red",630
"19",58.5254279749478,4.5,385,100,1031.39010919708,"C7W260","Red",630
"20",52.8928571428571,4,385,100,967.367911129206,"C7W260","Red",630
"21",67.5610423033617,5.5,385,100,1074.92356751997,"C7W260","Red",630
"22",63.3056074007953,5,385,100,1062.19026932443,"C7W260","Red",630
"23",75.8843644367581,6.5,385,100,1113.45527303747,"C7W260","Red",630
"24",71.9441087613293,6,385,100,1091.07574358992,"C7W260","Red",630
"25",82.4444444444444,7.5,385,100,1135.71190085553,"C7W260","Red",630
"26",79.3144708086169,7,385,100,1130.23240415936,"C7W260","Red",630
"27",88.3201383551115,8.5,385,100,1158.21872183305,"C7W260","Red",630
"28",85.7735878097584,8,385,100,1145.78374522919,"C7W260","Red",630
"29",93.3367300030647,9.5,385,100,1196.17468983411,"C7W260","Red",630
"30",83.8605141171513,9,385,100,1179.56077418268,"C7W260","Red",630
"31",90.2091716968477,10,390,100,1371.74689483643,"E7W260","Red",630
"32",54.8101466090075,3.5,390,100,809.73670529727,"E7W260","Red",630
"33",46.3649411187439,3,390,100,686.543521378909,"E7W260","Red",630
"34",64.3826200955146,4.5,390,100,945.710234725039,"E7W260","Red",630
"35",61.4957121734845,4,390,100,857.814309521169,"E7W260","Red",630
"36",73.01544780784,5.5,390,100,1022.55843317854,"E7W260","Red",630
"37",68.953948568302,5,390,100,930.451758496157,"E7W260","Red",630
"38",77.3156194201173,6.5,390,100,1105.4193123851,"E7W260","Red",630
"39",74.7307426597582,6,390,100,1046.3366688143,"E7W260","Red",630
"40",84.2896471177109,7.5,390,100,1244.03309123358,"E7W260","Red",630
"41",81.5331522200526,7,390,100,1075.90310484522,"E7W260","Red",630
"42",86.6914007750021,8.5,390,100,1320.36797314282,"E7W260","Red",630
"43",85.8648178735982,8,390,100,1158.0859362945,"E7W260","Red",630
"44",89.8959898691431,9.5,390,100,1249.7525998801,"E7W260","Red",630
"45",75.1504404788796,9,390,100,1231.51110220451,"E7W260","Red",630
"46",97.8014565363359,10,300,100,1344.11464691162,"H9W261","Red",630
"47",62.9099054952748,3.5,300,100,779.884218434614,"H9W261","Red",630
"48",56.4719387755102,3,300,100,562.967521446645,"H9W261","Red",630
"49",75.8540610705897,4.5,300,100,828.748405394595,"H9W261","Red",630
"50",69.7766314160433,4,300,100,785.300204750834,"H9W261","Red",630
"51",82.3812435113623,5.5,300,100,1040.00478992501,"H9W261","Red",630
"52",81.1080577269994,5,300,100,877.880186090069,"H9W261","Red",630
"53",87.7281684803205,6.5,300,100,1028.36592269933,"H9W261","Red",630
"54",84.4837080210935,6,300,100,1068.17363045868,"H9W261","Red",630
"55",92.3050658453696,7.5,300,100,1117.99595103003,"H9W261","Red",630
"56",90.4625297812432,7,300,100,1057.78502844992,"H9W261","Red",630
"57",94.9386528714009,8.5,300,100,1227.6109405232,"H9W261","Red",630
"58",93.3562279268357,8,300,100,1242.70683595837,"H9W261","Red",630
"59",96.159584767642,9.5,300,100,1527.98187199943,"H9W261","Red",630
"60",106.079928422308,9,300,100,1380.76542469382,"H9W261","Red",630
"1100",59.3858469945355,10,360,100,2430.93264389038,"H4W261","Blue",470
"2100",45.7957282291799,3.5,360,100,791.192914834297,"H4W261","Blue",470
"310",34.2544080604534,3,360,100,497.283888231115,"H4W261","Blue",470
"410",50.2186518265865,4.5,360,100,1531.60012299326,"H4W261","Blue",470
"510",48.9881713879582,4,360,100,1047.72072525048,"H4W261","Blue",470
"61",53.8080393104559,5.5,360,100,1325.44623321672,"H4W261","Blue",470
"1710",55.3719821420831,5,360,100,1453.03008968397,"H4W261","Blue",470
"1910",54.465073915785,6.5,360,100,1591.0891581188,"H4W261","Blue",470
"2010",55.0442404944746,6,360,100,1821.21817033607,"H4W261","Blue",470
"2110",55.1355466405534,7.5,360,100,1867.84223407396,"H4W261","Blue",470
"2210",57.3113098369279,7,360,100,1787.89357155272,"H4W261","Blue",470
