"","x","y","signal","voltage","nAppearance"
"1",124,84,2640,0,1
"2",81,110,4457,0,1
"3",82,110,4460,0,1
"4",53,114,796,0,1
"5",116,124,1218,0,1
"6",161,125,2454,0,1
"7",131,143,2387,0,1
"8",144,143,2355,0,1
"9",144,144,2356,0,2
"10",64,152,7936,0,1
"11",65,152,7934,0,1
"12",133,153,9370,0,1
"13",133,154,9368,0,1
"14",136,189,2598,0,1
"15",138,191,3439,0,1
"16",138,192,3439,0,1
"17",141,73,3323,0,1
"18",142,73,3321,0,1
"19",149,75,2587,0,1
"20",138,76,5116,0,1
"21",108,81,112,0,2
"22",109,81,97,0,2
"23",146,96,553,0,2
"24",147,96,561,0,2
"25",154,98,4659,0,1
"26",100,135,5024,0,1
"27",84,142,2604,0,1
"28",83,143,2595,0,1
"29",84,143,2602,0,1
"30",130,151,817,0,1
"31",130,152,818,0,1
"32",138,152,3921,0,1
"33",60,160,6221,0,1
"34",82,166,3319,0,1
"35",82,167,3301,0,1
"36",147,203,4574,0,1
"37",117,90,7581,0,1
"38",151,94,9023,0,1
"39",151,102,2731,0,1
"40",141,114,2539,0,1
"41",142,114,2539,0,1
"42",103,123,8400,0,1
"43",103,124,8401,0,1
"44",104,124,8393,0,2
"45",110,125,7620,0,1
"46",183,126,2118,0,1
"47",184,126,2118,0,2
"48",124,129,6374,0,1
"49",125,129,6376,0,1
"50",122,130,8002,0,1
"51",185,130,247,0,1
"52",63,133,4562,0,1
"53",64,133,4563,0,2
"54",94,134,761,0,1
"55",94,135,768,0,1
"56",95,135,763,0,1
"57",73,138,782,0,1
"58",74,138,783,0,1
"59",80,140,7392,0,1
"60",63,142,9796,0,1
"61",117,143,1497,0,1
"62",118,143,1499,0,1
"63",117,144,1491,0,1
"64",118,144,1495,0,1
"65",169,163,8251,0,1
"66",170,163,8262,0,1
"67",59,164,8282,0,1
"68",170,164,8259,0,2
"69",135,166,952,0,1
"70",136,166,955,0,1
"71",49,167,1984,0,1
"72",174,178,3190,0,1
"73",120,202,9193,0,1
"74",122,202,8380,0,1
"75",120,203,9192,0,1
"76",107,72,2350,0,2
"77",71,79,8256,0,1
"78",136,81,5018,0,1
"79",141,92,4875,0,1
"80",141,93,4873,0,2
"81",119,105,3877,0,1
"82",119,106,3878,0,1
"83",85,107,2747,0,1
"84",85,108,2745,0,2
"85",109,110,1197,0,1
"86",110,110,1191,0,1
